RMSE: 0.276526
generatedErrors : 2294
Accuracy :Accuracy :92.35333333333334%
Expected=6000650, Predicted=6000650 (err=0)
Expected=2504257, Predicted=2504257 (err=0)
Expected=6486391, Predicted=6486391 (err=0)
Expected=7723072, Predicted=7723072 (err=0)
Expected=5990743, Predicted=5990743 (err=0)
Expected=681602, Predicted=681602 (err=0)
Expected=8001843, Predicted=8001843 (err=0)
Expected=4762971, Predicted=4762971 (err=0)
Expected=5945647, Predicted=5945647 (err=0)
Expected=1612756, Predicted=1612756 (err=0)
Expected=611655, Predicted=611655 (err=0)
Expected=9178517, Predicted=9178517 (err=0)
Expected=893220, Predicted=893220 (err=0)
Expected=3071559, Predicted=3071559 (err=0)
Expected=6342721, Predicted=6342721 (err=0)
Expected=5873103, Predicted=5873103 (err=0)
Expected=2021632, Predicted=2021632 (err=0)
Expected=2409351, Predicted=2409351 (err=0)
Expected=6514760, Predicted=6514760 (err=0)
Expected=3129282, Predicted=3129282 (err=0)
Expected=3919874, Predicted=3919874 (err=0)
Expected=9064413, Predicted=9064413 (err=0)
Expected=8511157, Predicted=8511157 (err=0)
Expected=8400174, Predicted=8400174 (err=0)
Expected=5749671, Predicted=5749671 (err=0)
Expected=8212004, Predicted=8212004 (err=0)
Expected=2673469, Predicted=2673469 (err=0)
Expected=6573104, Predicted=6573104 (err=0)
Expected=5359378, Predicted=5359378 (err=0)
Expected=195166, Predicted=195166 (err=0)
Expected=5774931, Predicted=5774931 (err=0)
Expected=964365, Predicted=964365 (err=0)
Expected=1529378, Predicted=1529378 (err=0)
Expected=8259310, Predicted=8259310 (err=0)
Expected=5921328, Predicted=5921328 (err=0)
Expected=6936605, Predicted=6936605 (err=0)
Expected=501774, Predicted=501774 (err=0)
Expected=2962616, Predicted=2962616 (err=0)
Expected=1592647, Predicted=1592647 (err=0)
Expected=1737752, Predicted=1737752 (err=0)
Expected=157148, Predicted=157148 (err=0)
Expected=8641436, Predicted=8641436 (err=0)
Expected=8846182, Predicted=8846183 (err=-1)
Expected=5293841, Predicted=5293841 (err=0)
Expected=8861823, Predicted=8861824 (err=-1)
Expected=4529719, Predicted=4529719 (err=0)
Expected=3090796, Predicted=3090796 (err=0)
Expected=2625636, Predicted=2625636 (err=0)
Expected=9276401, Predicted=9276401 (err=0)
Expected=8558487, Predicted=8558487 (err=0)
Expected=6623018, Predicted=6623018 (err=0)
Expected=7037219, Predicted=7037219 (err=0)
Expected=8140177, Predicted=8140177 (err=0)
Expected=3106619, Predicted=3106619 (err=0)
Expected=8362651, Predicted=8362651 (err=0)
Expected=806952, Predicted=806952 (err=0)
Expected=5334679, Predicted=5334679 (err=0)
Expected=805676, Predicted=805676 (err=0)
Expected=2391432, Predicted=2391432 (err=0)
Expected=4220678, Predicted=4220678 (err=0)
Expected=1702272, Predicted=1702272 (err=0)
Expected=9147148, Predicted=9147149 (err=-1)
Expected=3219574, Predicted=3219574 (err=0)
Expected=2729413, Predicted=2729413 (err=0)
Expected=5947899, Predicted=5947899 (err=0)
Expected=1967089, Predicted=1967089 (err=0)
Expected=2275731, Predicted=2275731 (err=0)
Expected=9931331, Predicted=9931331 (err=0)
Expected=6672567, Predicted=6672567 (err=0)
Expected=5817574, Predicted=5817574 (err=0)
Expected=8788692, Predicted=8788692 (err=0)
Expected=8513775, Predicted=8513775 (err=0)
Expected=833340, Predicted=833340 (err=0)
Expected=9801477, Predicted=9801477 (err=0)
Expected=1636235, Predicted=1636235 (err=0)
Expected=2821524, Predicted=2821524 (err=0)
Expected=3038223, Predicted=3038223 (err=0)
Expected=5893543, Predicted=5893543 (err=0)
Expected=2890678, Predicted=2890678 (err=0)
Expected=6011245, Predicted=6011245 (err=0)
Expected=9862955, Predicted=9862955 (err=0)
Expected=3556284, Predicted=3556284 (err=0)
Expected=5098596, Predicted=5098596 (err=0)
Expected=5298536, Predicted=5298536 (err=0)
Expected=159033, Predicted=159033 (err=0)
Expected=9628101, Predicted=9628100 (err=1)
Expected=1757099, Predicted=1757099 (err=0)
Expected=1475775, Predicted=1475775 (err=0)
Expected=7558803, Predicted=7558803 (err=0)
Expected=6907179, Predicted=6907179 (err=0)
Expected=3940926, Predicted=3940926 (err=0)
Expected=8454852, Predicted=8454852 (err=0)
Expected=5514031, Predicted=5514031 (err=0)
Expected=5878280, Predicted=5878280 (err=0)
Expected=3459099, Predicted=3459099 (err=0)
Expected=2556110, Predicted=2556110 (err=0)
Expected=9602986, Predicted=9602985 (err=1)
Expected=8072281, Predicted=8072281 (err=0)
Expected=4768895, Predicted=4768895 (err=0)
Expected=7541301, Predicted=7541301 (err=0)
Expected=2575465, Predicted=2575465 (err=0)
Expected=1120548, Predicted=1120548 (err=0)
Expected=4728858, Predicted=4728858 (err=0)
Expected=5047232, Predicted=5047232 (err=0)
Expected=7089067, Predicted=7089067 (err=0)
Expected=399114, Predicted=399114 (err=0)
Expected=2397680, Predicted=2397680 (err=0)
Expected=331057, Predicted=331057 (err=0)
Expected=7718965, Predicted=7718965 (err=0)
