RMSE: 0.200000
generatedErrors : 40
Accuracy :Accuracy :96.0%
Expected=2254258, Predicted=2254258 (err=0)
Expected=9549657, Predicted=9549657 (err=0)
Expected=1058757, Predicted=1058757 (err=0)
Expected=4279349, Predicted=4279349 (err=0)
Expected=1978348, Predicted=1978348 (err=0)
Expected=8312022, Predicted=8312022 (err=0)
Expected=7541209, Predicted=7541209 (err=0)
Expected=7922961, Predicted=7922961 (err=0)
Expected=6368887, Predicted=6368887 (err=0)
Expected=3522458, Predicted=3522458 (err=0)
Expected=1574703, Predicted=1574703 (err=0)
Expected=8184877, Predicted=8184877 (err=0)
Expected=475592, Predicted=475592 (err=0)
Expected=6539907, Predicted=6539907 (err=0)
Expected=7260627, Predicted=7260627 (err=0)
Expected=35334, Predicted=35334 (err=0)
Expected=7472358, Predicted=7472358 (err=0)
Expected=4468286, Predicted=4468286 (err=0)
Expected=3837994, Predicted=3837994 (err=0)
Expected=9917909, Predicted=9917909 (err=0)
Expected=1715088, Predicted=1715088 (err=0)
Expected=5325586, Predicted=5325586 (err=0)
Expected=513215, Predicted=513215 (err=0)
Expected=374503, Predicted=374503 (err=0)
Expected=426911, Predicted=426911 (err=0)
Expected=9083395, Predicted=9083395 (err=0)
Expected=154434, Predicted=154434 (err=0)
Expected=6395546, Predicted=6395546 (err=0)
Expected=3633935, Predicted=3633935 (err=0)
Expected=7081941, Predicted=7081941 (err=0)
Expected=487224, Predicted=487224 (err=0)
Expected=8852153, Predicted=8852153 (err=0)
Expected=3719369, Predicted=3719369 (err=0)
Expected=7346535, Predicted=7346535 (err=0)
Expected=8318350, Predicted=8318350 (err=0)
Expected=9275445, Predicted=9275445 (err=0)
Expected=3910509, Predicted=3910509 (err=0)
Expected=5799891, Predicted=5799891 (err=0)
Expected=3873298, Predicted=3873298 (err=0)
Expected=3670537, Predicted=3670537 (err=0)
Expected=7710867, Predicted=7710867 (err=0)
Expected=4861729, Predicted=4861729 (err=0)
Expected=360538, Predicted=360538 (err=0)
Expected=6982341, Predicted=6982341 (err=0)
Expected=9335755, Predicted=9335755 (err=0)
Expected=1677727, Predicted=1677727 (err=0)
Expected=3118990, Predicted=3118990 (err=0)
Expected=4972606, Predicted=4972606 (err=0)
Expected=2028197, Predicted=2028197 (err=0)
Expected=5581699, Predicted=5581699 (err=0)
Expected=8402025, Predicted=8402025 (err=0)
Expected=7081781, Predicted=7081781 (err=0)
Expected=8518082, Predicted=8518082 (err=0)
Expected=3185150, Predicted=3185150 (err=0)
Expected=5089680, Predicted=5089680 (err=0)
Expected=4767404, Predicted=4767404 (err=0)
Expected=9857967, Predicted=9857967 (err=0)
Expected=8377906, Predicted=8377906 (err=0)
Expected=8477256, Predicted=8477256 (err=0)
Expected=6599379, Predicted=6599379 (err=0)
Expected=9881819, Predicted=9881818 (err=1)
Expected=579248, Predicted=579248 (err=0)
Expected=8056872, Predicted=8056872 (err=0)
Expected=4072501, Predicted=4072501 (err=0)
Expected=6782829, Predicted=6782829 (err=0)
Expected=6951036, Predicted=6951036 (err=0)
Expected=2902583, Predicted=2902583 (err=0)
Expected=6159316, Predicted=6159316 (err=0)
Expected=9207316, Predicted=9207317 (err=-1)
Expected=6286474, Predicted=6286474 (err=0)
Expected=1450686, Predicted=1450686 (err=0)
Expected=7364555, Predicted=7364555 (err=0)
Expected=8529982, Predicted=8529982 (err=0)
Expected=1810787, Predicted=1810787 (err=0)
Expected=2746402, Predicted=2746402 (err=0)
Expected=8739897, Predicted=8739897 (err=0)
Expected=6597726, Predicted=6597726 (err=0)
Expected=6216339, Predicted=6216339 (err=0)
Expected=8215694, Predicted=8215694 (err=0)
Expected=496186, Predicted=496186 (err=0)
Expected=7873886, Predicted=7873886 (err=0)
Expected=729596, Predicted=729596 (err=0)
Expected=5176265, Predicted=5176265 (err=0)
Expected=9951972, Predicted=9951972 (err=0)
Expected=9700183, Predicted=9700183 (err=0)
Expected=6603507, Predicted=6603507 (err=0)
Expected=2857986, Predicted=2857986 (err=0)
Expected=2828543, Predicted=2828543 (err=0)
Expected=8426165, Predicted=8426165 (err=0)
Expected=3807377, Predicted=3807377 (err=0)
Expected=206387, Predicted=206387 (err=0)
Expected=3347330, Predicted=3347330 (err=0)
Expected=9053279, Predicted=9053279 (err=0)
Expected=9199593, Predicted=9199593 (err=0)
Expected=3895270, Predicted=3895270 (err=0)
Expected=6785627, Predicted=6785627 (err=0)
Expected=8619659, Predicted=8619659 (err=0)
Expected=5768442, Predicted=5768442 (err=0)
Expected=9693789, Predicted=9693788 (err=1)
Expected=5926957, Predicted=5926957 (err=0)
Expected=7702953, Predicted=7702953 (err=0)
Expected=4517760, Predicted=4517760 (err=0)
Expected=9193853, Predicted=9193853 (err=0)
Expected=95784, Predicted=95784 (err=0)
Expected=6437244, Predicted=6437244 (err=0)
Expected=8598323, Predicted=8598323 (err=0)
Expected=2168446, Predicted=2168446 (err=0)
Expected=8701978, Predicted=8701978 (err=0)
Expected=9418023, Predicted=9418023 (err=0)
Expected=3447471, Predicted=3447471 (err=0)
Expected=7148616, Predicted=7148616 (err=0)
Expected=941593, Predicted=941593 (err=0)
Expected=8071550, Predicted=8071550 (err=0)
Expected=6119256, Predicted=6119256 (err=0)
Expected=9563002, Predicted=9563001 (err=1)
Expected=9301309, Predicted=9301310 (err=-1)
Expected=3352750, Predicted=3352750 (err=0)
Expected=8467805, Predicted=8467805 (err=0)
Expected=6935702, Predicted=6935702 (err=0)
Expected=8135694, Predicted=8135694 (err=0)
Expected=5985943, Predicted=5985943 (err=0)
Expected=6952890, Predicted=6952890 (err=0)
Expected=5806225, Predicted=5806225 (err=0)
Expected=26588, Predicted=26588 (err=0)
Expected=9034176, Predicted=9034176 (err=0)
Expected=9061535, Predicted=9061535 (err=0)
Expected=5555565, Predicted=5555565 (err=0)
Expected=7686428, Predicted=7686428 (err=0)
Expected=469343, Predicted=469343 (err=0)
Expected=3852134, Predicted=3852134 (err=0)
Expected=2973112, Predicted=2973112 (err=0)
Expected=9240157, Predicted=9240157 (err=0)
Expected=9805627, Predicted=9805627 (err=0)
