RMSE: 175.593195
generatedErrors : 37
Accuracy :Accuracy :63.0%
Expected=2254258, Predicted=2254258 (err=0)
Expected=9549657, Predicted=9549657 (err=0)
Expected=1058757, Predicted=1058757 (err=0)
Expected=4279349, Predicted=4279349 (err=0)
Expected=1978348, Predicted=1978348 (err=0)
Expected=8312022, Predicted=8312023 (err=-1)
Expected=7541209, Predicted=7541209 (err=0)
Expected=7922961, Predicted=7922962 (err=-1)
Expected=6368887, Predicted=6368887 (err=0)
Expected=3522458, Predicted=3522457 (err=1)
Expected=1574703, Predicted=1574703 (err=0)
Expected=8184877, Predicted=8184878 (err=-1)
Expected=475592, Predicted=475624 (err=-32)
Expected=6539907, Predicted=6539907 (err=0)
Expected=7260627, Predicted=7260627 (err=0)
Expected=35334, Predicted=34869 (err=465)
Expected=7472358, Predicted=7472357 (err=1)
Expected=4468286, Predicted=4468286 (err=0)
Expected=3837994, Predicted=3837994 (err=0)
Expected=9917909, Predicted=9917909 (err=0)
Expected=1715088, Predicted=1715088 (err=0)
Expected=5325586, Predicted=5325587 (err=-1)
Expected=513215, Predicted=513108 (err=107)
Expected=374503, Predicted=372922 (err=1581)
Expected=426911, Predicted=427437 (err=-526)
Expected=9083395, Predicted=9083395 (err=0)
Expected=154434, Predicted=154218 (err=216)
Expected=6395546, Predicted=6395546 (err=0)
Expected=3633935, Predicted=3633935 (err=0)
Expected=7081941, Predicted=7081941 (err=0)
Expected=487224, Predicted=487228 (err=-4)
Expected=8852153, Predicted=8852153 (err=0)
Expected=3719369, Predicted=3719369 (err=0)
Expected=7346535, Predicted=7346534 (err=1)
Expected=8318350, Predicted=8318349 (err=1)
Expected=9275445, Predicted=9275445 (err=0)
Expected=3910509, Predicted=3910509 (err=0)
Expected=5799891, Predicted=5799890 (err=1)
Expected=3873298, Predicted=3873298 (err=0)
Expected=3670537, Predicted=3670536 (err=1)
Expected=7710867, Predicted=7710868 (err=-1)
Expected=4861729, Predicted=4861729 (err=0)
Expected=360538, Predicted=360517 (err=21)
Expected=6982341, Predicted=6982341 (err=0)
Expected=9335755, Predicted=9335755 (err=0)
Expected=1677727, Predicted=1677727 (err=0)
Expected=3118990, Predicted=3118990 (err=0)
Expected=4972606, Predicted=4972606 (err=0)
Expected=2028197, Predicted=2028198 (err=-1)
Expected=5581699, Predicted=5581699 (err=0)
Expected=8402025, Predicted=8402025 (err=0)
Expected=7081781, Predicted=7081780 (err=1)
Expected=8518082, Predicted=8518081 (err=1)
Expected=3185150, Predicted=3185150 (err=0)
Expected=5089680, Predicted=5089680 (err=0)
Expected=4767404, Predicted=4767404 (err=0)
Expected=9857967, Predicted=9857967 (err=0)
Expected=8377906, Predicted=8377906 (err=0)
Expected=8477256, Predicted=8477256 (err=0)
Expected=6599379, Predicted=6599379 (err=0)
Expected=9881819, Predicted=9881819 (err=0)
Expected=579248, Predicted=579244 (err=4)
Expected=8056872, Predicted=8056872 (err=0)
Expected=4072501, Predicted=4072501 (err=0)
Expected=6782829, Predicted=6782829 (err=0)
Expected=6951036, Predicted=6951036 (err=0)
Expected=2902583, Predicted=2902583 (err=0)
Expected=6159316, Predicted=6159316 (err=0)
Expected=9207316, Predicted=9207317 (err=-1)
Expected=6286474, Predicted=6286473 (err=1)
Expected=1450686, Predicted=1450686 (err=0)
Expected=7364555, Predicted=7364556 (err=-1)
Expected=8529982, Predicted=8529982 (err=0)
Expected=1810787, Predicted=1810788 (err=-1)
Expected=2746402, Predicted=2746402 (err=0)
Expected=8739897, Predicted=8739897 (err=0)
Expected=6597726, Predicted=6597726 (err=0)
Expected=6216339, Predicted=6216339 (err=0)
Expected=8215694, Predicted=8215693 (err=1)
Expected=496186, Predicted=496362 (err=-176)
Expected=7873886, Predicted=7873886 (err=0)
Expected=729596, Predicted=729582 (err=14)
Expected=5176265, Predicted=5176265 (err=0)
Expected=9951972, Predicted=9951972 (err=0)
Expected=9700183, Predicted=9700183 (err=0)
Expected=6603507, Predicted=6603506 (err=1)
Expected=2857986, Predicted=2857987 (err=-1)
Expected=2828543, Predicted=2828544 (err=-1)
Expected=8426165, Predicted=8426166 (err=-1)
Expected=3807377, Predicted=3807377 (err=0)
Expected=206387, Predicted=206381 (err=6)
Expected=3347330, Predicted=3347331 (err=-1)
Expected=9053279, Predicted=9053279 (err=0)
Expected=9199593, Predicted=9199593 (err=0)
Expected=3895270, Predicted=3895270 (err=0)
Expected=6785627, Predicted=6785626 (err=1)
Expected=8619659, Predicted=8619659 (err=0)
Expected=5768442, Predicted=5768442 (err=0)
Expected=9693789, Predicted=9693789 (err=0)
Expected=5926957, Predicted=5926957 (err=0)
