RMSE: 0.356265
generatedErrors : 5077
Accuracy :Accuracy :87.3075%
Expected=4491557, Predicted=4491557 (err=0)
Expected=3052454, Predicted=3052454 (err=0)
Expected=2773940, Predicted=2773940 (err=0)
Expected=8751293, Predicted=8751293 (err=0)
Expected=2143643, Predicted=2143643 (err=0)
Expected=6470925, Predicted=6470925 (err=0)
Expected=5284622, Predicted=5284622 (err=0)
Expected=9896613, Predicted=9896612 (err=1)
Expected=8961159, Predicted=8961160 (err=-1)
Expected=1723674, Predicted=1723674 (err=0)
Expected=2795522, Predicted=2795522 (err=0)
Expected=3576084, Predicted=3576084 (err=0)
Expected=2452710, Predicted=2452710 (err=0)
Expected=3531858, Predicted=3531858 (err=0)
Expected=4307769, Predicted=4307769 (err=0)
Expected=8871763, Predicted=8871763 (err=0)
Expected=8583230, Predicted=8583230 (err=0)
Expected=7179200, Predicted=7179200 (err=0)
Expected=9987133, Predicted=9987133 (err=0)
Expected=1101019, Predicted=1101019 (err=0)
Expected=2064134, Predicted=2064134 (err=0)
Expected=392290, Predicted=392290 (err=0)
Expected=6930431, Predicted=6930431 (err=0)
Expected=1699078, Predicted=1699078 (err=0)
Expected=1405187, Predicted=1405187 (err=0)
Expected=6719424, Predicted=6719424 (err=0)
Expected=5437617, Predicted=5437617 (err=0)
Expected=4881965, Predicted=4881965 (err=0)
Expected=2706022, Predicted=2706022 (err=0)
Expected=6834335, Predicted=6834335 (err=0)
Expected=3640301, Predicted=3640301 (err=0)
Expected=7532564, Predicted=7532564 (err=0)
Expected=1714700, Predicted=1714700 (err=0)
Expected=9354379, Predicted=9354379 (err=0)
Expected=8026740, Predicted=8026740 (err=0)
Expected=9839164, Predicted=9839163 (err=1)
Expected=173904, Predicted=173904 (err=0)
Expected=6583616, Predicted=6583616 (err=0)
Expected=4871888, Predicted=4871888 (err=0)
Expected=8754233, Predicted=8754234 (err=-1)
Expected=9145738, Predicted=9145738 (err=0)
Expected=1766007, Predicted=1766007 (err=0)
Expected=162962, Predicted=162962 (err=0)
Expected=984774, Predicted=984774 (err=0)
Expected=8291969, Predicted=8291969 (err=0)
