RMSE: 0.000000
generatedErrors : 0
Accuracy :Accuracy :100.0%
Expected=6415218, Predicted=6415218 (err=0)
Expected=8712008, Predicted=8712008 (err=0)
Expected=433486, Predicted=433486 (err=0)
Expected=3458763, Predicted=3458763 (err=0)
Expected=5442140, Predicted=5442140 (err=0)
Expected=1391629, Predicted=1391629 (err=0)
Expected=8981309, Predicted=8981309 (err=0)
Expected=1377834, Predicted=1377834 (err=0)
Expected=1799489, Predicted=1799489 (err=0)
Expected=4168181, Predicted=4168181 (err=0)
Expected=4261788, Predicted=4261788 (err=0)
Expected=3829327, Predicted=3829327 (err=0)
Expected=6365843, Predicted=6365843 (err=0)
Expected=6334542, Predicted=6334542 (err=0)
Expected=7142069, Predicted=7142069 (err=0)
Expected=4802805, Predicted=4802805 (err=0)
Expected=1099189, Predicted=1099189 (err=0)
Expected=1215997, Predicted=1215997 (err=0)
Expected=1819551, Predicted=1819551 (err=0)
Expected=2037939, Predicted=2037939 (err=0)
Expected=8084412, Predicted=8084412 (err=0)
Expected=1071388, Predicted=1071388 (err=0)
Expected=5725256, Predicted=5725256 (err=0)
Expected=7530185, Predicted=7530185 (err=0)
Expected=5670377, Predicted=5670377 (err=0)
Expected=8792933, Predicted=8792933 (err=0)
Expected=1645663, Predicted=1645663 (err=0)
Expected=8611795, Predicted=8611795 (err=0)
Expected=4404059, Predicted=4404059 (err=0)
Expected=7589915, Predicted=7589915 (err=0)
Expected=6914243, Predicted=6914243 (err=0)
Expected=6995910, Predicted=6995910 (err=0)
Expected=9764626, Predicted=9764626 (err=0)
Expected=6167009, Predicted=6167009 (err=0)
Expected=8027334, Predicted=8027334 (err=0)
Expected=8741728, Predicted=8741728 (err=0)
Expected=6802349, Predicted=6802349 (err=0)
Expected=5429608, Predicted=5429608 (err=0)
Expected=715395, Predicted=715395 (err=0)
Expected=1004636, Predicted=1004636 (err=0)
Expected=6585984, Predicted=6585984 (err=0)
Expected=3296494, Predicted=3296494 (err=0)
Expected=3716690, Predicted=3716690 (err=0)
Expected=9629467, Predicted=9629467 (err=0)
Expected=8796750, Predicted=8796750 (err=0)
Expected=501661, Predicted=501661 (err=0)
Expected=4304852, Predicted=4304852 (err=0)
Expected=4815141, Predicted=4815141 (err=0)
Expected=4581568, Predicted=4581568 (err=0)
Expected=4624120, Predicted=4624120 (err=0)
Expected=654506, Predicted=654506 (err=0)
Expected=9810629, Predicted=9810629 (err=0)
Expected=9373593, Predicted=9373593 (err=0)
Expected=8541628, Predicted=8541628 (err=0)
Expected=7478804, Predicted=7478804 (err=0)
Expected=2108367, Predicted=2108367 (err=0)
Expected=7760673, Predicted=7760673 (err=0)
